Use,Nomenclature,ReporterISO3,ProductCode,ReporterName,PartnerISO3,PartnerName,Year,TradeFlowName,TradeFlowCode,TradeValue in 1000 USD
Cladding tube,S4,KOR,68913,"Korea, Rep.",RUS,Russian Federation,2018,Import,5,0.04
Cladding tube,S4,KOR,68913,"Korea, Rep.",RUS,Russian Federation,2019,Import,5,0.038
Cladding tube,S4,KOR,68913,"Korea, Rep.",RUS,Russian Federation,2020,Import,5,87.5
Cladding tube,S4,KOR,68913,"Korea, Rep.",RUS,Russian Federation,2021,Import,5,208.0
Cladding tube,S4,KOR,68913,"Korea, Rep.",RWA,Rwanda,2016,Import,5,49.004
Cladding tube,S4,KOR,68913,"Korea, Rep.",SGP,Singapore,2015,Import,5,0.266
Cladding tube,S4,KOR,68913,"Korea, Rep.",SGP,Singapore,2018,Import,5,2.405
Cladding tube,S4,KOR,68913,"Korea, Rep.",SGP,Singapore,2019,Import,5,5.901
Cladding tube,S4,KOR,68913,"Korea, Rep.",USA,United States,2015,Import,5,130.87
Cladding tube,S4,KOR,68913,"Korea, Rep.",USA,United States,2016,Import,5,3.595
Cladding tube,S4,KOR,68913,"Korea, Rep.",USA,United States,2017,Import,5,17.458
Cladding tube,S4,KOR,68913,"Korea, Rep.",USA,United States,2018,Import,5,4.467
Cladding tube,S4,KOR,68913,"Korea, Rep.",USA,United States,2019,Import,5,46.924
Cladding tube,S4,KOR,68913,"Korea, Rep.",USA,United States,2020,Import,5,8.486
Cladding tube,S4,KOR,68913,"Korea, Rep.",USA,United States,2021,Import,5,15.248
Cladding tube,S4,KOR,68984,"Korea, Rep.",CAN,Canada,2019,Import,5,56.519
Cladding tube,S4,KOR,68984,"Korea, Rep.",CHN,China,2015,Import,5,788.677
Cladding tube,S4,KOR,68984,"Korea, Rep.",CHN,China,2016,Import,5,231.103
Cladding tube,S4,KOR,68984,"Korea, Rep.",CHN,China,2017,Import,5,158.205
Cladding tube,S4,KOR,68984,"Korea, Rep.",CHN,China,2018,Import,5,37.759
Cladding tube,S4,KOR,68984,"Korea, Rep.",CHN,China,2019,Import,5,58.953
Cladding tube,S4,KOR,68984,"Korea, Rep.",CHN,China,2020,Import,5,16.082
Cladding tube,S4,KOR,68984,"Korea, Rep.",CHN,China,2021,Import,5,159.212
Cladding tube,S4,KOR,68984,"Korea, Rep.",DEU,Germany,2015,Import,5,2.949
Cladding tube,S4,KOR,68984,"Korea, Rep.",DEU,Germany,2016,Import,5,1.267
Cladding tube,S4,KOR,68984,"Korea, Rep.",DEU,Germany,2017,Import,5,16.025
Cladding tube,S4,KOR,68984,"Korea, Rep.",DEU,Germany,2018,Import,5,61.097
Cladding tube,S4,KOR,68984,"Korea, Rep.",DEU,Germany,2019,Import,5,2.861
Cladding tube,S4,KOR,68984,"Korea, Rep.",DEU,Germany,2020,Import,5,8.607
Cladding tube,S4,KOR,68984,"Korea, Rep.",DEU,Germany,2021,Import,5,10.484
Cladding tube,S4,KOR,68984,"Korea, Rep.",FIN,Finland,2016,Import,5,0.312
Cladding tube,S4,KOR,68984,"Korea, Rep.",FIN,Finland,2020,Import,5,1.546
Cladding tube,S4,KOR,68984,"Korea, Rep.",FRA,France,2015,Import,5,114.445
Cladding tube,S4,KOR,68984,"Korea, Rep.",FRA,France,2016,Import,5,99.566
Cladding tube,S4,KOR,68984,"Korea, Rep.",FRA,France,2017,Import,5,136.311
Cladding tube,S4,KOR,68984,"Korea, Rep.",FRA,France,2018,Import,5,500.225
Cladding tube,S4,KOR,68984,"Korea, Rep.",FRA,France,2019,Import,5,101.643
Cladding tube,S4,KOR,68984,"Korea, Rep.",FRA,France,2020,Import,5,206.372
Cladding tube,S4,KOR,68984,"Korea, Rep.",GBR,United Kingdom,2017,Import,5,0.158
Cladding tube,S4,KOR,68984,"Korea, Rep.",GBR,United Kingdom,2019,Import,5,1.863
Cladding tube,S4,KOR,68984,"Korea, Rep.",HKG,"Hong Kong, China",2015,Import,5,9.564
Cladding tube,S4,KOR,68984,"Korea, Rep.",HKG,"Hong Kong, China",2017,Import,5,26.715
Cladding tube,S4,KOR,68984,"Korea, Rep.",HKG,"Hong Kong, China",2018,Import,5,1.07
Cladding tube,S4,KOR,68984,"Korea, Rep.",HKG,"Hong Kong, China",2021,Import,5,2.073
Cladding tube,S4,KOR,68984,"Korea, Rep.",IDN,Indonesia,2017,Import,5,0.006
Cladding tube,S4,KOR,68984,"Korea, Rep.",IDN,Indonesia,2018,Import,5,0.024
Cladding tube,S4,KOR,68984,"Korea, Rep.",IND,India,2017,Import,5,3.39
Cladding tube,S4,KOR,68984,"Korea, Rep.",IND,India,2019,Import,5,3.121
